EQUIPE asuwant
INSTANCE 12
0 6
0 14
0 18
0 19
0 26
0 36
0 40
0 42
0 44
0 45
0 48
1 4
1 6
1 13
1 20
1 31
1 37
2 11
2 12
2 29
2 41
2 43
3 1
3 2
3 10
3 13
3 21
3 28
4 17
4 25
4 32
5 1
5 8
6 6
6 11
6 14
6 15
6 16
6 20
6 21
6 34
7 4
7 10
7 19
7 27
7 38
7 42
7 45
8 21
8 36
8 44
9 2
9 14
9 20
9 26
9 28
10 3
10 16
10 17
10 18
10 19
10 24
11 6
11 38
11 43
11 47
12 23
12 31
12 33
13 4
13 5
13 15
13 18
14 7
14 10
14 40
14 42
15 8
15 11
15 12
16 35
17 8
17 18
17 33
18 1
18 6
18 13
18 25
18 27
18 49
19 8
19 21
19 33
19 35
20 6
20 29
21 4
21 10
21 45
22 14
22 27
23 15
23 42
23 43
