EQUIPE asuwant
INSTANCE 16
6 9
15 15
12 38
8 18
5 3
23 13
17 45
8 33
5 16
0 35
0 22
21 27
12 8
6 43
23 22
22 40
21 10
18 14
17 24
15 37
23 1
14 41
5 26
4 15
0 4
21 47
16 0
7 42
0 32
22 5
19 12
18 35
18 20
14 31
14 22
11 17
6 28
3 42
3 24
24 44
24 31
24 24
22 9
20 39
20 6
14 7
13 27
12 23
5 38
24 33
24 2
23 17
22 45
21 21
20 32
18 26
13 47
13 6
12 30
10 13
10 5
6 25
5 34
3 9
2 49
2 31
2 17
2 6
1 36
24 37
23 44
22 18
20 36
20 28
19 42
19 19
16 33
16 29
16 11
14 34
13 20
11 39
11 28
10 49
10 34
9 25
8 36
8 7
5 48
2 14
1 28
0 47
24 49
24 29
24 14
24 12
24 6
23 25
23 7
21 18
20 4
19 8
18 46
18 44
17 41
16 42
16 17
15 36
14 29
13 43
12 46
12 33
11 0
10 45
9 29
9 19
9 11
8 47
8 4
5 10
5 0
4 45
4 37
3 46
3 30
2 48
2 45
2 4
1 41
1 12
1 0
